Exio prod code,nace-related code,description,unit,AT,AU,BE,BG,BR,CA,CH,CN,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,Global,HR,HU,ID,IE,IN,IT,JP,KR,LT,LU,LV,MT,MX,NL,NO,PL,PT,RO,RU,SE,SI,SK,TR,TW,US,WA,WE,WF,WL,WM,ZA
A_Mustd,01.e,Mustard seed,tonnes,,,,4.485305122611379,,0.9686578823426328,,1.966243538239502,,1.1248923110313178,0.8519923075808254,1.5201036565307708,,,,1.9827959818664669,,,,,0.8804845169203084,,,,,,,2.439366037140172,,,,1.2576095029031564,,,,,0.383488146,0.7220622381053277,,,1.0971530689420124,,,1.4910653658880308,1.1042801723959168,1.361601123744836,0.8827696129297662,,3.388666638946364,
A_Castd,01.e,Castor oil seed,tonnes,,,,,0.5705950937694262,,,2.087925431,,,,,,,,,,,,,,2.346601841701218,,0.667805209,,,0.7875613543237568,,,,,1.3738908893766502,,,,,,1.1916460725002238,,,,,,,1.020102474388655,,0.4294158361087379,0.6705020091910093,1.4581234212429626,1.4092732400776806
A_Raped,01.e,Rapeseed,tonnes,1.3729330434636036,1.2355320914545211,2.029938136907694,0.6849242967167152,0.398393693,1.6102034354391883,0.7287440338127533,3.2338213226642285,,1.4876861810453854,0.7876700090733754,1.4022572535164524,1.702018407165697,1.1327440848087584,1.966013477334668,2.053042127504649,1.870515945279693,0.6826223979914379,,1.0462341625468643,0.7541183080587983,,0.9843762054791592,1.0306247046106136,2.052901658604749,4.103190888,7.176824435,0.8883019319986036,1.6866318230420283,1.4065466647813003,,1.639819085185143,1.7086293282699354,1.303691641026438,1.4495210340894076,,0.5673858150361109,0.9327942047385168,1.5384599038682794,1.3720289819127032,0.7119753760555383,0.8340149180977479,0.007767948,2.878671113,1.7635625683218326,1.3270585296748654,0.3363517463766907,0.8578371586242193,1.452519258608714,1.246148077210374
A_Oilss,01.e,Oilseeds nes,tonnes,2.268517089807798,,,2.027445071747766,0.2775174703682245,7.137165318519699,2.366972431849762,0.7932118372097298,,5.037740767833405,,,,,,4.028515507519496,,,,2.4024449076590586,2.0630198707429983,,,2.205564044637738,1.1170507539636416,,6.624339067994011,1.9713105306956464,,4.664965068652773,,,,,2.147429980448293,0.8819979563268349,,1.3844825798323284,,,4.695271831716381,,0.1593227674863702,,1.267340058592676,1.7222994251434287,0.6458575162341036,0.3602403296269707,3.576962416688777,1.3760033717586206
M_Castd,01.e,"Castor oil seed, market of",tonnes,,,,0.6994636783324926,0.575015282,0.972813209,,2.0847275401652308,,,0.7050191122259857,,,,0.7050191122273722,0.9493812259474926,0.9728132094549014,,0.6994636187807725,,,2.336858659912232,0.972813209,0.6678052086627378,,0.8213015625222043,0.6745520337704008,0.6994636783324926,0.6994636783324926,,,1.3769708061016908,1.918144698686336,0.972813209,,,0.6994636783324926,1.1467454270284394,0.7050191122273722,0.6994636783324926,,,1.0156915478505573,,1.0126126904365924,1.4576446101525424,0.4294290701238699,0.6706130732014262,1.4576000996690328,1.4091515490863737
A_Sunfd,01.e,Sunflower seed,tonnes,0.8275510223959337,0.9134157446354024,,1.4051122383901429,0.4141827488250086,0.9510219131703628,0.7652930773862126,1.966364855184616,,1.4075191085681014,1.138181053294606,,,1.5392931283950866,,2.538595536812048,,0.5441952833735271,,0.9977987470050904,0.7515330194918866,,,1.3374595276032109,1.9520650823086283,,,,,,,1.3817866522300075,,,1.6352703276121685,1.8791725680629847,0.6029453918945347,0.882304141,,1.3325856683850836,0.7009654803889015,1.481164399251603,,0.813364614,1.9638342505407345,0.8318382832098312,0.296306005,0.4367185001794107,2.708210673968193,1.3073709351096312
A_Sesad,01.e,Sesame seed,tonnes,,,,,2.9114463251261404,,,3.066366540377428,0.8127845942641707,,,,,,,,,0.7132944481979873,,,,,,1.4498350838195415,1.1698099691936985,0.1022507096356278,0.3604095225101087,,,,,3.0690716307975943,,,,,,,,,,1.4315564429789849,0.1440516549136924,,1.6371440964989947,0.099546848,0.5540356208856781,2.921338757943972,2.911393399576344,
A_Soybs,01.e,Soybeans,tonnes,0.8449507756913035,0.7844954135456035,,1.939795620740588,0.4562025370074066,0.6262805863009994,0.7392634906606793,1.3005841328995476,,1.42418804,0.719439038,,,1.0225669670916862,,2.257210841202215,,0.4648410351973658,,0.9091172697229276,0.7217405776257605,0.7576427590071498,,0.5732256924213438,1.650785047476388,2.9064650049599865,2.2848217923436884,,,,,0.9867775846235072,,,1.506494220670737,,0.5800413039427892,0.9153545176254976,,1.3048129208330388,0.6909731691277217,0.992446578,0.099651871,0.4537844914364569,1.2479587341133418,0.6522426734210909,0.2926122842407213,0.366303062,1.780884903798901,1.2001783803749737
A_Seedcot,01.e,Seedcotton,tonnes,,0.5927434187326373,,0.2570620532645957,0.1356207277077347,,,0.6062152325913416,,,,,,0.6733408443930318,,,,0.1652029899058118,,,,0.3806913814264463,,0.2482778625766371,,,,,,,,0.5208478176467654,,,,,,,,,,0.522675461,,0.2915050145303849,0.3127911026897992,0.3309755900751542,0.1004003100010466,0.2591414499168303,1.6100952663537722,0.9891272970884164
A_Melonse,01.e,Melonseed,tonnes,,,,,,,,3.546636917968048,,,,,,,,,,0.861877444,,,,,,,,,,,,,,9.767676842237774,,,,,,,,,,,,,,,2.0433013390981283,,3.772484282689379,
